time_Schubert_D911-03_HU33,time_Schubert_D911-03_SC06,time_Schubert_D911-03_2,time_Schubert_D911-03,measure_Schubert_D911-03_2,time_sync_reference
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.020000,0.020000,0.020000,0.020000,0.020000
0.040000,0.040000,0.040000,0.040000,0.040000,0.040000
0.060000,0.060000,0.060000,0.060000,0.060000,0.060000
0.080000,0.080000,0.080000,0.080000,0.080000,0.080000
0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.120000,0.120000,0.120000,0.120000,0.120000,0.120000
0.140000,0.140000,0.140000,0.140000,0.140000,0.140000
0.160000,0.160000,0.160000,0.160000,0.160000,0.160000
0.180000,0.440000,0.180000,0.180000,0.180000,0.180000
0.200000,0.460000,0.200000,0.200000,0.200000,0.200000
0.220000,0.480000,0.220000,0.220000,0.220000,0.220000
0.240000,0.500000,0.240000,0.240000,0.240000,0.240000
0.260000,0.520000,0.260000,0.260000,0.260000,0.260000
0.280000,0.540000,0.280000,0.280000,0.280000,0.280000
0.300000,0.560000,0.300000,0.300000,0.300000,0.300000
0.320000,0.580000,0.320000,0.320000,0.320000,0.320000
0.340000,0.600000,0.340000,0.340000,0.340000,0.340000
0.360000,0.620000,0.360000,0.360000,0.360000,0.360000
0.380000,0.640000,0.380000,0.380000,0.380000,0.380000
0.400000,0.660000,0.400000,0.400000,0.400000,0.400000
0.420000,0.680000,0.420000,0.420000,0.420000,0.420000
0.440000,0.700000,0.440000,0.440000,0.440000,0.440000
0.460000,0.720000,0.460000,0.460000,0.460000,0.460000
0.480000,0.740000,0.480000,0.480000,0.480000,0.480000
0.500000,0.760000,0.500000,0.500000,0.500000,0.500000
0.520000,0.780000,0.520000,0.520000,0.520000,0.520000
0.540000,0.800000,0.540000,0.540000,0.540000,0.540000
0.560000,0.820000,0.560000,0.560000,0.560000,0.560000
0.580000,0.840000,0.580000,0.580000,0.580000,0.580000
0.600000,0.860000,0.600000,0.600000,0.600000,0.600000
0.620000,0.880000,0.620000,0.620000,0.620000,0.620000
0.640000,0.900000,0.640000,0.640000,0.640000,0.640000
0.660000,0.920000,0.660000,0.660000,0.660000,0.660000
0.680000,0.940000,0.680000,0.680000,0.680000,0.680000
0.700000,0.960000,0.700000,0.700000,0.700000,0.700000
0.720000,0.980000,0.720000,0.720000,0.720000,0.720000
0.740000,1.000000,0.740000,0.740000,0.740000,0.740000
0.760000,1.020000,0.760000,0.760000,0.760000,0.760000
0.780000,1.040000,0.780000,0.780000,0.780000,0.780000
0.800000,1.060000,0.800000,0.800000,0.800000,0.800000
0.820000,1.070000,0.820000,0.820000,0.820000,0.820000
0.840000,1.080000,0.840000,0.840000,0.840000,0.840000
0.860000,1.100000,0.860000,0.860000,0.860000,0.860000
0.880000,1.120000,0.880000,0.880000,0.880000,0.880000
0.900000,1.140000,0.900000,0.900000,0.900000,0.900000
0.920000,1.160000,0.920000,0.920000,0.920000,0.920000
0.940000,1.180000,0.940000,0.940000,0.940000,0.940000
0.960000,1.200000,0.960000,0.960000,0.960000,0.960000
0.980000,1.220000,0.980000,0.980000,0.980000,0.980000
1.000000,1.240000,0.990000,0.990000,0.990000,1.000000
1.020000,1.260000,1.000000,1.000000,1.000000,1.020000
1.040000,1.280000,1.020000,1.020000,1.005000,1.040000
1.060000,1.300000,1.040000,1.040000,1.010000,1.060000
1.080000,1.320000,1.060000,1.060000,1.015000,1.080000
1.100000,1.340000,1.080000,1.080000,1.020000,1.100000
1.120000,1.350000,1.100000,1.100000,1.025000,1.120000
1.140000,1.360000,1.120000,1.120000,1.030000,1.140000
1.160000,1.380000,1.140000,1.140000,1.035000,1.160000
1.180000,1.400000,1.160000,1.160000,1.040000,1.180000
1.200000,1.410000,1.180000,1.180000,1.045000,1.200000
1.220000,1.420000,1.200000,1.200000,1.050000,1.220000
1.240000,1.440000,1.220000,1.220000,1.055000,1.240000
1.260000,1.460000,1.240000,1.240000,1.060000,1.260000
1.280000,1.466667,1.260000,1.260000,1.065000,1.280000
1.300000,1.473333,1.280000,1.280000,1.070000,1.300000
1.320000,1.480000,1.300000,1.300000,1.075000,1.320000
1.340000,1.500000,1.320000,1.320000,1.080000,1.340000
1.360000,1.520000,1.340000,1.340000,1.085000,1.360000
1.380000,1.540000,1.360000,1.360000,1.090000,1.380000
1.400000,1.560000,1.380000,1.380000,1.095000,1.400000
1.420000,1.580000,1.400000,1.400000,1.100000,1.420000
1.440000,1.600000,1.420000,1.420000,1.105000,1.440000
1.460000,1.620000,1.440000,1.440000,1.110000,1.460000
1.480000,1.640000,1.460000,1.460000,1.115000,1.480000
1.500000,1.660000,1.480000,1.480000,1.120000,1.500000
1.520000,1.680000,1.500000,1.500000,1.125000,1.520000
1.540000,1.700000,1.520000,1.520000,1.130000,1.540000
1.560000,1.720000,1.540000,1.540000,1.135000,1.560000
1.580000,1.740000,1.860000,1.860000,1.215000,1.580000
1.600000,1.760000,1.880000,1.880000,1.220000,1.600000
1.620000,1.780000,1.900000,1.900000,1.225000,1.620000
1.640000,1.800000,1.920000,1.920000,1.230000,1.640000
1.660000,1.820000,1.940000,1.940000,1.235000,1.660000
1.680000,1.840000,1.960000,1.960000,1.240000,1.680000
1.700000,1.860000,1.980000,1.980000,1.245000,1.700000
1.720000,1.880000,2.000000,2.000000,1.250000,1.720000
1.740000,1.900000,2.020000,2.020000,1.255000,1.740000
1.760000,1.920000,2.040000,2.040000,1.260000,1.760000
1.780000,1.940000,2.060000,2.060000,1.265000,1.780000
1.800000,1.960000,2.080000,2.080000,1.270000,1.800000
1.820000,1.980000,2.100000,2.100000,1.275000,1.820000
1.840000,2.000000,2.120000,2.120000,1.280000,1.840000
1.860000,2.020000,2.140000,2.140000,1.285000,1.860000
1.880000,2.040000,2.160000,2.160000,1.290000,1.880000
1.900000,2.060000,2.180000,2.180000,1.295000,1.900000
1.920000,2.080000,2.200000,2.200000,1.300000,1.920000
